Physics runs,notes,first file with header errors,total events (M),total good Q at nominal (nC),total lumi (1/nb),unblinded files,unblinded events (M),unblinded good Q at nominal (nC),unblinded lumi (1/nb),trigger config,run log notes,beam current,,
5649,,9999,26.87356,38586.962,6.172373312,11,2.78998,4034.361,0.6453366857,v7TurboBurst,Run ended because of our FSD trip,50,,
5650,,9999,19.67928,26731.739,4.276010959,8,2.032633,2968.476,0.4748376418,v7TurboBurst,Run ended because of our FSD trip,50,,
5651,,9999,9.89284,12932.094,2.068618718,4,1.023029,1525.986,0.2440968341,v7TurboBurst,Run ended because of our FSD trip,50,,
5652,,9999,24.45439,34932.75,5.587845289,10,2.521875,3609.783,0.5774211572,v7TurboBurst,Run ended because of our FSD trip,50,,
5653,,9999,13.18219,18824.91,3.011234004,6,1.511659,2149.618,0.3438530552,v7TurboBurst,Run ended because of our FSD trip,50,,
5654,,9999,23.71034,33481.539,5.355709469,10,2.536287,3607.734,0.577093399,v7TurboBurst,Run ended because of our FSD trip,50,,
5655,,9999,7.30185,7047.231,1.127275595,3,0.8063,741.834,0.1186638218,v7TurboBurst,Run ended because of our FSD trip,50,,
5656,,9999,33.55323,47505.587,7.59899723,14,3.512727,4948.873,0.7916220932,v7TurboBurst,Run ended because of our FSD trip,50,,
5657,,9999,6.46969,9307.597,1.488843909,3,0.752166,1103.592,0.1765306584,v7TurboBurst,Going to restricted access,50,,
5686,,9999,6.12859,9891.985,1.582322656,3,0.77026,1251.178,0.200138526,v7TurboBurst,no EPICS bank,50,,
5689,,9999,104.17608,140273.928,22.43822796,40,10.472039,14175.688,2.267544107,v7TurboBurst,,50,,
5692,,9999,106.86061,132017.178,21.11747761,41,10.862205,13633.29,2.180782083,v7TurboBurst,,50,,
5693,DAQ errors?,9999,114.22071,157071.763,25.12521089,44,11.452882,15431.023,2.468347587,v7TurboBurst,,50,,
5694,DAQ errors?,9999,71.82189,93674.374,14.98415983,28,7.277613,9556.748,1.528698121,v7TurboBurst,,50,,
5695,DAQ errors?,9999,33.99883,46272.271,7.401715911,14,3.601091,5164.042,0.8260405425,v7TurboBurst,,50,,
5696,,9999,97.17338,145003.014,23.19469291,38,9.775858,14205.711,2.272346588,v7TurboBurst.cnf,,50,,
5697,DAQ errors,80,30.02128,47916.891,7.664789449,8,2.040699,3257.988,0.5211480028,v7TurboBurst.cnf,,50,,
5698,,9999,126.57832,181878.815,29.09334878,50,12.950324,17208.453,2.752665422,v7TurboBurst.cnf,,50,,
5704,,9999,7.81421,2741.568,0.4385414212,3,0.816593,426.09,0.0681573881,v7TurboBurst.cnf,DAQ test,50,,
5706,,9999,55.44393,66914.172,10.70359593,22,5.797123,7171.481,1.147150634,v7TurboBurst.cnf,DAQ crashed when terminal was close by mistake,50,,
5710,,9999,81.09006,56040.82,8.964293736,32,8.307255,6119.76,0.9789172648,v7TurboBurst.cnf,,50,,
5715,,9999,102.60761,116825.776,18.68745982,40,10.443752,11462.606,1.833559308,v7TurboBurst.cnf,"
",50,,
5726,DAQ errors last file,9999,40.39999,92628.568,14.81687263,16,4.050542,9365.881,1.498167021,v7TurboBurst-Lat147,Event recorder backed up and dpm3 not responding. Run terminated; forced to reset.,50,,
5733,DAQ errors last file,9999,8.79999,20385.557,3.260875214,4,1.010837,2360.633,0.3776070303,v7TurboBurst-Lat147,DAQ crashed (svt daq),50,,
5768,DAQ errors,370,112.85681,245078.465,39.20276949,37,9.451833,19915.321,3.185656229,v7TurboBurst-Lat147.cnf,L6b axial electron out-of-time error occurred; run terminated.,50,,
5770,,9999,120.02549,276225.843,44.18510639,48,12.204453,28208.91,4.512299342,v7TurboBurst-Lat147.cnf,,50,,
5793,,9999,24.44756,46037.798,7.364209593,10,2.534963,5106.837,0.8168900264,v7TurboBurst-Lat147.cnf,,50,,
totals - all golden runs,,,4055.09564,7371411.031,1179.131457,1602,409.374524,745662.973,119.2763046,,,,,
,,,,,,,,,,,,,,
other 0.5 mm runs,,,,,,,,,,,,,,
5626,,9999,4.5488,6299.218,1.00762338,2,0.505998,819.691,0.1311178333,v7TurboBurst,multiple simultaneous trips of many cryomodules in the NL. MCC called expert in.,50,,
5631,DAQ errors?,9999,12.91952,2046.238,0.3273163827,5,1.305326,0,0,v7TurboBurst,MISSING EPICS,50,,
5633,,9999,3.95081,5395.178,0.8630130742,2,0.493136,699.21,0.1118456836,v7TurboBurst,EB died; MISSING EPICS,50,,
5639,DAQ errors,0,5.30143,7655.337,1.224548276,0,0,0,0,v7TurboBurst-Lat147,SVT latency normal in this run; MISSING EPICS,50,,
5640,DAQ errors,0,10.41707,19573.765,3.131020905,0,0,0,0,v7TurboBurst-Lat149,SVT latency 147 in this run; MISSING EPICS,50,,
5641,"bad latency, DAQ errors",0,1.09837,566.66,0.09064297575,0,0,0,0,v7TurboBurst,SVT latency 149 in this run; MISSING EPICS,50,,
5645,,9999,1.20186,1792.377,0.2867087583,1,0.251396,371.008,0.05934646728,v7TurboBurst,Run ended because of our FSD trip,50,,
5646,,9999,3.21952,4703.381,0.7523531746,2,0.513203,778.389,0.1245111623,v7TurboBurst,Run ended because of our FSD trip,50,,
5683,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5685,,9999,0.56094,0,0,1,0.253699,0,0,not logged,not logged,not logged,,
5687,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5688,,9999,0.7356,1148.468,0.1837090267,1,0.261447,503.096,0.08047527359,not logged,not logged,not logged,,
5690,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5691,special AVDD trim,9999,9.62962,7692.967,1.230567574,4,1.237024,1028.184,0.1644683891,v7TurboBurst-HybAvddTrim185,,50,,
5703,,9999,3.58496,2688.855,0.4301094458,2,0.528586,428.858,0.06860015758,,DAQ test,,,
5705,,9999,1.75674,1596.641,0.2553988131,1,0.255688,416.444,0.06661441322,v7TurboBurst.cnf,SVT cooling alarm at start of run,50,,
5707,,9999,0.20204,0,0,1,0.20208,0,0,,DAQ recover,,,
5708,,9999,#N/A,#N/A,#N/A,0,0,0,0,,DAQ recover,,,
5709,,9999,#N/A,#N/A,#N/A,0,0,0,0,,DAQ recover,,,
5711,special AVDD trim,9999,6.47506,10241.909,1.638296526,3,0.781575,1255.807,0.2008789811,v7TurboBurst-HybAvddTrim185.cnf,special run required from Pelle with new configuration file,50,,
5714,,9999,#N/A,#N/A,#N/A,0,0,0,0,,,,,
5717,,9999,0.21416,0,0,1,0.214213,0,0,not logged,not logged,not logged,,
5721,,9999,1.55828,0,0,1,0.254904,0,0,not logged,not logged,not logged,,
5722,DAQ errors,0,10.03284,21094.363,3.374255875,0,0,0,0,v7TurboBurst-Lat147,DAQ is running on Sergey's computer,,,
5727,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5728,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5729,,9999,0.35134,0,0,1,0.351488,0,0,not logged,not logged,not logged,,
5730,,9999,0.6248,1504.653,0.2406844058,1,0.624828,1504.653,0.2406844058,not logged,not logged,not logged,,
5736,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5737,,9999,0.10001,0,0,1,0.100057,0,0,not logged,not logged,not logged,,
5738,,9999,0.40411,0,0,1,0.404134,0,0,not logged,not logged,not logged,,
5740,,9999,0.19172,481.798,0.07706844392,1,0.191753,481.798,0.07706844392,not logged,not logged,not logged,,
5745,pedestal run,9999,2.5205,0,0,1,0.407124,0,0,ecalPedestalWithMask.nrf,Pedestal run,20,,
5748,pedestal run,9999,2.25548,0,0,1,0.4151,0,0,ecalPedestalWithMask.cnf,Pedestal run,30,,
5749,"30 nA, SVT moving",9999,5.06841,5918.084,0.9466571569,18,5.068697,5918.741,0.9467622507,v7tb-Lat147-30nA.cnf,,30,,
5750,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5751,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5752,pedestal run,9999,2.36012,0,0,1,0.353126,0,0,ecalPedestalWithMask.cnf,Pedestal run,40,,
5753,,9999,0.13212,342.282,0.05475145418,1,0.132208,342.282,0.05475145418,not logged,not logged,not logged,,
5754,40 nA,9999,5.38457,11216.53,1.794196973,21,5.129428,4897.077,0.7833368012,v7tb-Lat147-40nA.cnf,,40,,
5755,60 nA,9999,6.04726,8646.061,1.383024561,25,6.047428,8645.246,1.382894193,v7TurboBurst-Lat147,,60,,
5756,FEE run,9999,0.26123,7398.693,1.183495483,1,0.26131,7398.693,1.183495483,v7tb-Lat147-FeeMask.trg,,50,,
5757,FEE run,9999,1.5022,3990.709,0.6383541085,6,1.502695,3990.709,0.6383541085,v7tb-Lat147-FeeMask.trg,ECal DISCs misconfigured?,50,,
5758,FEE run,9999,#N/A,#N/A,#N/A,0,0,0,0,v7tb-Lat147-FeeMask2.trg,,50,,
5759,,9999,#N/A,#N/A,#N/A,0,0,0,0,not logged,not logged,not logged,,
5760,,9999,0.04865,12314.313,1.969798424,1,0.048797,12314.313,1.969798424,not logged,not logged,not logged,,
5761,,9999,0.04927,11527.006,1.843860737,1,0.049429,11527.006,1.843860737,not logged,not logged,not logged,,
5762,,9999,0.00275,0,0,1,0.002774,0,0,not logged,not logged,not logged,,
5763,,9999,0.22191,0,0,1,0.222244,0,0,not logged,not logged,not logged,,
5764,,9999,0.19417,0,0,1,0.194188,0,0,not logged,not logged,not logged,,
5765,,9999,1.74154,0,0,1,0.287974,0,0,not logged,not logged,not logged,,
5767,,9999,0.04129,0.403,0.00006446390998,1,0.041288,0.403,0.00006446390998,not logged,not logged,not logged,,
5774,pulser run,9999,10.78965,40664.345,6.504671651,45,10.790229,40663.638,6.504558559,v7tb_Lat147-PulsarOnly.cnf,Pulser run,50,,
5778,,9999,0.19093,0,0,1,0.191058,0,0,,,,,
5779,carbon,9999,20.10287,45839.273,7.332453519,82,20.103933,45837.645,7.332193104,v7tb-Lat147-Carbon.trg,,30,,
5781,CH2,9999,12.3338,3382.509,0.5410663913,36,12.334913,3365.616,0.5383641857,v7tb-Lat147-CH2.trg,,2,,
5784,straight-throughs,9999,8.46923,5445.191,0.8710131574,29,8.469423,5445.135,0.8710041997,v7tb-Lat147_Straight.cnf,motor position at 2HO2 is at 4.19        BPMX was -0.7,25,,
5785,straight-throughs,9999,8.42381,6243.413,0.9986968079,26,8.424037,6243.7,0.9987427165,v7tb-Lat147_Straight.cnf,motor position at 2HO2 is at 4.639  2H02BPMX is 0.5,25,,
5786,straight-throughs,9999,7.01152,6544.516,1.046861266,21,7.011712,6544.065,1.046789124,v7tb-Lat147_Straight.cnf,motor position at 2HO2 is at 6.115  2H02BPMX is x-1.8 Y-0.7,25,,
5788,,9999,0.46905,0,0,1,0.440057,0,0,not logged,not logged,not logged,,
5789,,9999,0.11662,4686.593,0.7496677649,1,0.116682,4686.593,0.7496677649,not logged,not logged,not logged,,
5790,empty target,9999,2.02903,80073.417,12.80854974,1,0.397575,13252.938,2.119940948,v7TurboBurst-Lat147.cnf,Empty target run,,,
5792,bias scan,9999,23.88837,3628.924,0.580482953,10,2.548538,605.535,0.09686142365,v7TurboBurst-Lat147.cnf,SVT bias scan,50,,
5794,bias scan,9999,14.22376,892.001,0.1426845463,6,1.568916,0,0,v7TurboBurst-Lat147.cnf,SVT bias scan,49,,
,,,,,,,,,,,,,,
Cal runs,events,files,"good Q at nominal, from file summary","good Q at nominal, from run summary","good Q, from file summary","good Q, from run summary",,,,,,,,
5222,0,0,0,#N/A,0,#N/A,,,,,,,,
5228,0,0,0,#N/A,0,#N/A,,,,,,,,
5229,0,0,0,#N/A,0,#N/A,,,,,,,,
5393,0,0,0,#N/A,0,#N/A,,,,,,,,
5546,4774393,21,15418.786,16201.72,15418.786,16201.72,,,,,,,,
5747,4938356,16,0,0,14650.352,14650.408,,,,,,,,
5749,5068697,18,5918.741,5918.084,13672.812,13672.182,,,,,,,,
5754,5129428,21,4897.077,11216.53,7351.418,13882.743,,,,,,,,
5755,6047428,25,8645.246,8646.061,13796.756,13797.622,,,,,,,,
5756,261310,1,7398.693,7398.693,7815.765,7815.765,,,,,,,,
5757,1502695,6,3990.709,3990.709,42232.492,42232.586,,,,,,,,
5774,10790229,45,40663.638,40664.345,47211.231,47212.008,,,,,,,,
5777,0,0,0,#N/A,0,#N/A,,,,,,,,
5779,20103933,82,45837.645,45839.273,49579.919,49581.548,,,,,,,,
5781,12334913,36,3365.616,3382.509,3584.526,3584.576,,,,,,,,
5784,8469423,29,5445.135,5445.191,5445.135,5445.191,,,,,,,,
5785,8424037,26,6243.7,6243.413,6619.254,6618.966,,,,,,,,
5786,7011712,21,6544.065,6544.516,6544.065,6544.516,,,,,,,,
