Physics runs,notes,Excluded file range,total events (M),total good Q at nominal (nC),total lumi (1/nb), files,10% files,10% events (M),10% good Q at nominal (nC),10% lumi (1/nb),trigger config,run log notes,beam current,,
7972,,,72.33563,782275.335,125.1328208,162,17,7575102,80472.449,12.87237893,v8_200nA,BPMs varied wildly near the end of the run due to MCC work,200 nA,,
7976,,,25.21089,272701.805,43.62140101,58,6,2620173,28757.591,4.600066396,v8_200nA,,200 nA,,
7982,,,16.8055,187094.296,29.92761751,38,4,1776887,20653.307,3.303704524,v8_200nA,DAQ crashed,200 nA,,
7983,,,100.23773,1046288.004,167.364307,224,23,10411015,104188.955,16.66607299,v8_200nA,run ended normally,200 nA,,
7984,,,105.38943,1169276.826,187.0376081,237,24,10748983,114561.99,18.32534444,v8_200nA,run ended normally,200 nA,,
7985,,,103.26326,1140291.38,182.401094,231,24,10536881,117915.262,18.86173408,v8_200nA,run ended normally,200 nA,,
7986,,,102.74062,1138347.055,182.0900796,231,24,10303187,115919.952,18.54256415,v8_200nA,run ended normally,200 nA,,
7987,,,104.2918,1162455.846,185.9465236,236,24,10590303,118162.596,18.90129765,v8_200nA,run ended normally,200 nA,,
7988,,,100.04196,1085440.874,173.627203,225,23,10325938,109814.732,17.5659727,v8_200nA,run ended normally,200 nA,,
8025,,,100.25735,1068160.965,170.8631074,228,23,10002953,108391.548,17.33832008,v8_200nA,run ended normally,200 nA,,
8026,,,100.22988,1080521.272,172.840263,231,24,10103434,108596.375,17.37108422,v8_200nA,run ended normally,200 nA,,
8027,,,103.47789,1101747.679,176.2356407,240,24,10285620,110741.165,17.71416499,v8_200nA,run ended normally,200 nA,,
8028,,,119.6658,1251130.424,200.1309157,276,28,12242464,128493.787,20.55387573,v8_200nA,run ended normally,200 nA,,
8029,,,100.85017,1061789.11,169.843865,233,24,10515671,109172.826,17.46329337,v8_200nA,run ended normally,200 nA,,
8030,,,68.26379,720882.722,115.3124538,159,16,6876624,72740.376,11.63555596,v8_200nA,"DAQ crashed, ending run",200 nA,,
8031,,,58.21559,614726.371,98.33167603,136,14,6006331,63463.627,10.1516465,v8_200nA,,200 nA,,
8039,livetime in mya at .326 for first 6 minutes of run,0-11,94.955778,1030397.969,164.8225358,231,24,10172506,100453.387,16.06853126,v8_200nA,First clean run after the DAQ was fixed,200 nA,,
8040,,,100.28373,1080956.308,172.9098514,229,23,9995626,107413.137,17.18181338,v8_200nA,run ended normally,200 nA,,
8041,,,29.61558,318638.745,50.96947735,68,7,3081980,32539.248,5.204980531,v8_200nA,run ended with DAQ crash,200 nA,,
8043,livetime in mya undefined for 2/3 of run,0-165,28.089049,309212.625,49.4616745,230,23,9951332,28418.296,4.545792742,v8_200nA,run ended normally,200 nA,,
8044,,,100.08923,1091615.852,174.6149529,231,24,10008505,110273.913,17.63942333,v8_200nA,run ended normally,200 nA,,
8045,,,101.53514,937263.512,149.9247411,222,23,10539876,96630.974,15.45709779,v8_200nA,,200 nA,,
8046,,,101.2805,942172.587,150.7099971,225,23,10389869,94653.422,15.14076842,v8_200nA,unstable beam following an FSD trip.  then beam became stable again,200 nA,,
8047,,,100.91836,1033986.142,165.3965002,229,23,10635927,101032.632,16.16118733,v8_200nA,,200 nA,,
8048,,,100.013,1079173.052,172.6246017,230,23,10231345,107910.784,17.26141704,v8_200nA,,200 nA,,
8049,,,22.10103,235109.422,37.60812063,51,6,2446660,24185.538,3.868720458,v8_200nA,end run due to RF trip,200 nA,,
8051,,,29.49289,307479.863,49.18450176,67,7,3052447,32757.48,5.239888938,v8_200nA,,200 nA,,
8055,,,54.45546,619252.29,99.05564237,118,12,5650924,62410.153,9.983132717,v8_200nA,"Many trips, current took a long time to recover. ",200 nA,,
8057,,,100.04981,1135859.251,181.6921303,227,23,10145688,117311.557,18.76516538,,run ended normally,200 nA,,
8058,,,100.06929,1098352.497,175.6925471,230,23,10167666,109170.687,17.46295121,,run ended normally,200 nA,,
8059,,,110.09275,1212243.144,193.9105035,254,26,11378986,124393.566,19.89800407,,run ended normally,200 nA,,
8072,,,108.11759,1235736.307,197.6684716,239,24,11249616,130816.138,20.92535917,v8_200nA,run ended normally,200 nA,,
8073,,,103.94021,1028249.549,164.4788743,225,23,10411010,113751.175,18.19564641,v8_200nA,run ended normally / During the run beam position was flucuating a lot,200nA,,
8074,,,88.0714,961338.378,153.7757585,194,20,9188532,95900.74,15.3402895,v8_200nA,run ended normally,200nA,,
8075,,,34.36716,396061.017,63.35394974,77,8,3573402,41666.849,6.665032266,v8_200nA,"MCC will take the beam avay for a long time, so decided to end the run, and move SVT to 3mm",200nA,,
8077,,,57.18961,648985.242,103.8117276,127,13,5821506,67941.707,10.86796051,v8_200nA,,200nA,,
8085,,,59.81768,745448.422,119.241985,129,13,6107784,76128.52,12.17752372,v8_200nA,At the end DAQ lifetime went to 0. We Ended the run with 59M events,200nA,,
8086,,,97.36924,1159495.714,185.4730207,212,22,10154900,121102.459,19.37155835,v8_200nA,Run ended normally,200nA,,
8087,,,109.98398,1118799.216,178.9632058,235,24,11502589,116972.62,18.710949,v8_200nA,Run ended normally,200nA,,
8088,,,27.28781,329395.808,52.69017795,58,6,2848332,35220.936,5.633943543,v8_200nA,MCC took the beam of QE dayly QE studies,200nA,,
8090,,,31.69859,367162.905,58.7314056,68,7,3404254,39401.762,6.302708781,v8_200nA,,200nA,,
8092,,,99.45094,1131144.567,180.9379691,211,22,10042645,111672.827,17.86319371,v8_200nA,,200nA,,
8094,,,100.57504,1164870.196,186.3327232,220,22,10033190,115807.071,18.52450769,v8_200nA,Back to production at 200 nA,200nA,,
8095,,,105.29024,1002228.462,160.3165393,224,23,10696019,108079.93,17.28847364,v8_200nA,,200nA,,
8096,,,100.17789,999153.165,159.8246146,214,22,10075964,108042.141,17.28242891,v8_200nA,,200nA,,
8097,,,99.13105,1051931.872,168.2671005,216,22,10093050,109834.762,17.5691767,v8_200nA,,200nA,,
8098,,,101.83872,1188663.975,190.1387779,225,23,10507533,123423.388,19.74281433,v8_200nA,Run ended normally,200nA,,
8099,,,128.77405,1481651.055,237.005013,284,29,13307392,155605.475,24.89066336,v8_200nA,,200nA,,
total,,,7237.677827,67224722.4,10753.2716,16939,1726,748411392,6882102.633,1100.861649,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5757,0,0,0,#REF!,0,#N/A,,,,,,,,,
